Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Hyundai,Eon Era +,311087,2012,70000,Petrol,Manual,Kheda,Blue,First,Dealer,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
Volvo,S60 Kinetic D4,922262,2018,89311,Diesel,Automatic,Hyderabad,Brown,Second,Dealer,1984 cc,165 bhp @ 3500 rpm,400 Nm @ 2750 rpm,FWD,4635.0,1865.0,1484.0,5.0,67.5
Jeep,Compass Limited 2.0 Diesel [2017-2020],1149393,2006,57000,Diesel,Automatic,Mumbai,Green,Third,Corporate,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
Maruti Suzuki,Swift DZire VXI,443342,2023,65000,Petrol,Manual,Ahmedabad,Green,First,Corporate,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
Mahindra,Scorpio S10,806426,2005,67000,Diesel,Automatic,Varanasi,Grey,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0
Maruti Suzuki,Vitara Brezza ZDi,735255,2012,94827,Diesel,Automatic,Jaipur,Brown,Second,Dealer,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Tata,Hexa XT 4x2 6 STR,1065648,2023,88757,Diesel,Manual,Indore,White,Second,Dealer,2179 cc,154 bhp @ 4000 rpm,400 Nm @ 1700 rpm,RWD,4788.0,1903.0,1791.0,6.0,60.0
Hyundai,Venue SX 1.0 Turbo iMT,1166825,2014,10700,Petrol,Manual,Jaipur,Yellow,Third,Dealer,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Hyundai,Verna Fluidic 1.6 CRDi SX,248730,2014,135000,Diesel,Manual,Ambala Cantt,Brown,Third,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Audi,Q5 35 TDI Premium Plus,4232458,2022,66000,Diesel,Automatic,Chennai,Green,First,Corporate,,,,,,,,,
Maruti Suzuki,Swift VXi [2014-2017],582738,2016,54000,Petrol,Manual,Mohali,Blue,Third,Dealer,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],544051,2021,57847,Petrol,Manual,Bangalore,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Audi,A4 Premium Plus 40 TFSI,4051120,2008,1,Petrol,Manual,Delhi,Black,Second,Individual,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1450 rpm,FWD,4762.0,1847.0,1433.0,5.0,54.0
Mercedes-Benz,S-Class 300,1521261,2016,158000,Petrol,Automatic,Chennai,Silver,First,Individual,,,,,,,,,
Honda,City 1.5 S MT,241836,2004,55000,Petrol,Automatic,Kolkata,Grey,Second,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
Mahindra,Thar AX 6-STR Soft Top Diesel MT,1586761,2023,28000,Diesel,Manual,Delhi,Brown,First,Dealer,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1920.0,6.0,57.0
Maruti Suzuki,Ciaz Zeta 1.4 AT,729341,2014,31000,Petrol,Automatic,Mumbai,Black,Third,Corporate,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,S-Cross Alpha 1.6,595294,2015,77000,Diesel,Manual,Delhi,Silver,First,Dealer,1598 cc,118 bhp @ 3750 rpm,320 Nm @ 1750 rpm,FWD,4300.0,1765.0,1590.0,5.0,48.0
Hyundai,Creta SX 1.6 CRDi,1210364,2002,47000,Diesel,Automatic,Jalandhar,Grey,Second,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
Hyundai,Verna Fluidic 1.6 VTVT SX AT,623173,2015,58200,Petrol,Automatic,Mumbai,Red,First,Corporate,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Hyundai,Eon Era +,224855,2013,48000,Petrol,Manual,Lucknow,Grey,First,Corporate,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
Maruti Suzuki,Baleno Alpha Automatic,811869,2014,40000,Petrol,Manual,Chennai,Green,Second,Corporate,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0
Hyundai,Venue SX (O) 1.0 Turbo iMT,976363,2018,7500,Petrol,Manual,Hyderabad,White,Second,Dealer,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Hyundai,Verna 1.6 CRDI SX,678609,2004,49000,Diesel,Automatic,Mumbai,Blue,Second,Dealer,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Mahindra,XUV500 W6 2013,498990,2015,135000,Diesel,Manual,Varanasi,Green,Second,Corporate,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Maruti Suzuki,Celerio VXi AMT,366077,2022,19000,Petrol,Manual,Mumbai,Brown,Second,Dealer,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Mercedes-Benz,CLA 200 D Urban Sport,3271086,2021,17000,Diesel,Automatic,Delhi,Brown,Third,Corporate,2143 cc,136 bhp @ 3200 rpm,300 Nm @ 1400 rpm,FWD,4630.0,1777.0,1432.0,5.0,56.0
Maruti Suzuki,Ciaz Delta Hybrid 1.5 [2018-2020],739737,2017,6200,Petrol,Manual,Mumbai,Red,Second,Corporate,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,Vitara Brezza VDi,749956,2013,81300,Diesel,Manual,Ludhiana,Red,Third,Corporate,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Hyundai,Creta E Plus 1.4 CRDI,791261,2000,62000,Diesel,Automatic,Dehradun,Blue,First,Individual,1396 cc,89 bhp @ 4000 rpm,224 Nm @ 1500 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,A3 35 TDI Technology + Sunroof,3074422,2015,40910,Diesel,Manual,Bangalore,Yellow,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Tata,Nexon EV XZ Plus,1589945,2018,48400,Electric,Automatic,Bangalore,Brown,First,Individual,,,,FWD,3993.0,1811.0,1606.0,5.0,
Maruti Suzuki,Vitara Brezza ZDi,811933,2011,85000,Diesel,Manual,Hyderabad,Black,First,Corporate,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Hyundai,Creta SX Plus 1.6 CRDI Dual Tone,728317,2005,82000,Diesel,Automatic,Raipur,Silver,Third,Corporate,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,Alto 800 Lxi,302729,2021,40564,Petrol,Manual,Jamshedpur,Grey,Third,Corporate,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Mercedes-Benz,GLE 250 d,6301063,2003,57000,Diesel,Manual,Dehradun,Green,Third,Corporate,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,4819.0,2141.0,1796.0,5.0,93.0
Maruti Suzuki,Alto LXi BS-III,140467,2004,65000,Petrol,Manual,Yamunanagar,Yellow,Third,Corporate,796 cc,47@6200,62@3000,,3495.0,1475.0,1460.0,5.0,35.0
Mahindra,Scorpio S11 4WD 7 STR,1289563,2021,69000,Diesel,Automatic,Lucknow,Brown,Third,Corporate,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456.0,1820.0,1995.0,7.0,60.0
Ford,Endeavour Titanium 2.0 4x2 AT,3798457,2000,9400,Diesel,Manual,Delhi,Silver,First,Individual,1996 cc,168 bhp @ 3500 rpm,420 Nm @ 2000 rpm,RWD,4903.0,1869.0,1837.0,7.0,80.0
MG,Hector Sharp 1.5 DCT Petrol [2019-2020],1711757,2006,17000,Petrol,Manual,Delhi,White,Second,Corporate,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,,4655.0,1835.0,1760.0,5.0,60.0
Mercedes-Benz,GLE 300d 4MATIC LWB,9966121,2009,10000,Diesel,Automatic,Delhi,Grey,Second,Individual,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4924.0,2157.0,1772.0,5.0,93.0
Maruti Suzuki,Vitara Brezza VXi,854666,2023,48000,Petrol,Automatic,Bangalore,Yellow,Third,Corporate,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,Swift ZXi Plus AMT,786653,2020,24000,Petrol,Manual,Agra,Silver,First,Dealer,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845.0,1735.0,1530.0,5.0,37.0
Mahindra,Scorpio S11 4WD 7 STR,1428300,2003,68000,Diesel,Automatic,Ludhiana,Silver,Second,Corporate,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456.0,1820.0,1995.0,7.0,60.0
Tata,Tiago NRG Petrol,530277,2005,32000,Petrol,Automatic,Noida,Yellow,First,Dealer,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3793.0,1665.0,1587.0,5.0,35.0
Mercedes-Benz,GLE 300d 4MATIC LWB,9676358,2014,14000,Diesel,Automatic,Delhi,Black,Third,Individual,1950 cc,241 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4924.0,2157.0,1772.0,5.0,93.0
Toyota,Camry Hybrid,1687610,2015,92355,Petrol,Automatic,Mumbai,Silver,Third,Dealer,2494 cc,202 bhp @ 5700 rpm,270 Nm @ 4500 rpm,FWD,4825.0,1825.0,1480.0,5.0,65.0
Land Rover,Discovery Sport HSE Luxury 7-Seater,6512136,2007,32368,Diesel,Automatic,Chennai,Yellow,Third,Dealer,2179 cc,188 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,4600.0,2069.0,1724.0,7.0,65.0
Maruti Suzuki,Vitara Brezza ZDi,661862,2015,75000,Diesel,Automatic,Ambala Cantt,Brown,First,Corporate,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Tata,Nexon XZA Plus Petrol,831838,2002,35000,Petrol,Manual,Chennai,Silver,Second,Dealer,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0
Toyota,Etios Liva G,332527,2020,38091,Petrol,Manual,Mumbai,Red,First,Dealer,1197 cc,80 bhp @ 5600 rpm,104 Nm @ 3100 rpm,FWD,3775.0,1695.0,1510.0,5.0,45.0
Maruti Suzuki,Swift DZire VDI,591565,2010,37000,Diesel,Manual,Salem,Grey,Third,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
Maruti Suzuki,Swift DZire VXI,477879,2014,74000,Petrol,Automatic,Ranchi,White,First,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
Mercedes-Benz,GLC 220 d Sport,4480127,2012,47009,Diesel,Manual,Pune,Green,First,Dealer,,,,,,,,,
Skoda,Superb L&K TDI AT,3295637,2006,6900,Diesel,Automatic,Delhi,Red,First,Dealer,1968 cc,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861.0,1864.0,1483.0,5.0,66.0
Volkswagen,Polo Comfortline 1.2L (P),229309,2015,78000,Petrol,Manual,Ludhiana,Silver,Second,Corporate,,,,,,,,,
Maruti Suzuki,Swift DZire ZDI,586887,2002,89000,Diesel,Automatic,Chennai,Red,First,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
Mercedes-Benz,A-Class Sedan 200d,4033264,2004,3826,Diesel,Automatic,Ahmedabad,Black,Third,Dealer,1950 cc,147 bhp @ 3400 rpm,320 Nm @ 1400 rpm,FWD,4549.0,1796.0,1446.0,5.0,43.0
Hyundai,Creta SX 1.6 CRDi,1198222,2001,47000,Diesel,Manual,Jalandhar,Blue,First,Dealer,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
Hyundai,i20 Magna 1.2,386128,2021,79287,Petrol,Manual,Kanpur,Grey,Second,Individual,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995.0,1710.0,1505.0,5.0,45.0
Maruti Suzuki,Vitara Brezza ZDi,778771,2005,85000,Diesel,Automatic,Hyderabad,Black,Second,Dealer,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,Swift ZXi Plus [2018-2019],786925,2015,11000,Petrol,Manual,Bangalore,Brown,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Maruti Suzuki,Baleno Delta 1.3,572715,2007,88000,Diesel,Manual,Kanpur,White,Third,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,i20 Asta 1.4 AT with AVN,292165,2012,26000,Petrol,Manual,Mumbai,Green,Second,Dealer,1396 cc,100@5500,137@4200,,3940.0,1710.0,1505.0,5.0,45.0
Maruti Suzuki,Alto VXi,202896,2015,51000,Petrol,Manual,Mumbai,Red,Second,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620.0,1475.0,1460.0,5.0,35.0
Maruti Suzuki,Alto VXi [2014-2019],282835,2000,31000,Petrol,Manual,Patna,Yellow,Third,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3545.0,1490.0,1475.0,5.0,35.0
Mahindra,Scorpio S11 2WD 7 STR,1322781,2004,56500,Diesel,Manual,Lucknow,Green,Third,Dealer,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
Mercedes-Benz,GLC 220 d Sport,3747698,2016,83400,Diesel,Automatic,Hyderabad,Green,Second,Dealer,,,,,,,,,
Honda,City 1.5 V MT,263692,2015,73000,Petrol,Manual,Delhi,Yellow,Second,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
Audi,Q7 45 TDI Technology Pack,3892521,2011,88000,Diesel,Automatic,Delhi,Red,Second,Corporate,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,5052.0,1968.0,1740.0,7.0,75.0
MINI,Countryman Cooper D,1259887,2023,50300,Diesel,Manual,Delhi,Brown,First,Individual,1995 cc,112 bhp @,270 Nm @ 1750 rpm,FWD,4097.0,1789.0,1561.0,5.0,47.0
Audi,A6 3.0 TDI quattro Premium,1668097,2008,240000,Diesel,Automatic,Lucknow,Grey,First,Individual,2967 cc,245 bhp @ 4000 rpm,500 Nm @ 1400 rpm,AWD,4915.0,1874.0,1455.0,5.0,75.0
Honda,City 1.5 S AT,249194,2015,110000,Petrol,Automatic,Delhi,Grey,First,Corporate,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
Audi,A8 3.0 TDI quattro,5029941,2012,32000,Diesel,Manual,Hyderabad,Black,Second,Individual,2967 cc,247 bhp @ 4000 rpm,580 Nm @ 1750 rpm,AWD,5265.0,1949.0,1471.0,4.0,90.0
Toyota,Innova 2.4 VX 7 STR [2016-2020],2266762,2013,112000,Diesel,Manual,Hyderabad,Green,Third,Dealer,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
Tata,Nexon XM Diesel,755851,2021,65000,Diesel,Manual,Amritsar,Red,First,Individual,1497 cc,108 bhp @ 3750 rpm,260 Nm @ 1500 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],454908,2021,10265,Petrol,Manual,Hyderabad,Silver,Second,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Audi,A3 35 TDI Premium + Sunroof,1527438,2004,55000,Diesel,Manual,Mumbai,Black,Third,Corporate,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Honda,Brio S MT,351459,2001,31000,Petrol,Manual,Kharar,Grey,Second,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
Maruti Suzuki,Ritz Vdi BS-IV,121500,2013,80000,Diesel,Manual,Kanpur,White,Second,Dealer,1248 cc,75@4000,190@2000,,3715.0,1680.0,1620.0,5.0,43.0
BMW,X1 xDrive20d M Sport,2438302,2016,75000,Diesel,Manual,Coimbatore,Black,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4439.0,1821.0,1612.0,5.0,51.0
Maruti Suzuki,Swift ZDi Plus,774463,2022,80849,Diesel,Manual,Hyderabad,Blue,Second,Corporate,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Maruti Suzuki,Ignis Zeta 1.2 AMT,554119,2019,22000,Petrol,Manual,Delhi,Green,First,Corporate,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3700.0,1690.0,1595.0,5.0,32.0
Volkswagen,Polo Highline1.2L (P),316792,2015,53000,Petrol,Manual,Meerut,Silver,Third,Dealer,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
Hyundai,Elite i20 Sportz 1.2,655269,2021,23000,Petrol,Automatic,Delhi,Blue,Third,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,40.0
Tata,Grande GX,236671,2013,98000,Diesel,Manual,Mumbai,White,First,Corporate,2179 cc,120@4000,250@1500,,4421.0,1780.0,1940.0,7.0,65.0
Maruti Suzuki,Swift ZXi,731682,2019,10000,Petrol,Manual,Jalandhar,Brown,Second,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845.0,1735.0,1530.0,5.0,37.0
Honda,Amaze VX CVT 1.2 Petrol,907665,2019,8700,Petrol,Automatic,Mangalore,Green,Third,Dealer,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
Mahindra,Scorpio VLX 2WD BS-IV,599563,2021,83000,Diesel,Manual,Rudrapur,Silver,Third,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
Hyundai,Santro Sportz,571348,2006,19000,Petrol,Manual,Ahmedabad,Red,Second,Dealer,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610.0,1645.0,1560.0,5.0,35.0
Mercedes-Benz,E-Class 280 CDI Elegance,332123,2000,140987,Diesel,Automatic,Jalandhar,Brown,First,Corporate,2987 cc,198@4000,456@1400,RWD,4818.0,1822.0,1420.0,5.0,80.0
Nissan,Sunny XL,303267,2015,57000,Petrol,Automatic,Amritsar,Black,Third,Dealer,1498 cc,98 bhp @ 6000 rpm,134 Nm @ 4000 rpm,FWD,4425.0,1695.0,1505.0,5.0,41.0
Hyundai,Elite i20 Sportz 1.2 [2016-2017],736388,2008,42678,Petrol,Automatic,Mumbai,Blue,Third,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Maruti Suzuki,Baleno Delta 1.2,721180,2006,58146,Petrol,Automatic,Bangalore,Silver,Third,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Mahindra,Bolero Power Plus ZLX,907258,2022,70000,Diesel,Manual,Dak. Kannada,Brown,First,Dealer,1493 cc,70 bhp @ 3600 rpm,195 Nm @ 1400 rpm,RWD,3995.0,1745.0,1880.0,7.0,
Maruti Suzuki,Ertiga VDi,740169,2000,112000,Diesel,Manual,Chennai,Brown,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4265.0,1695.0,1685.0,7.0,45.0
Maruti Suzuki,Baleno Delta 1.2,543403,2015,34908,Petrol,Automatic,Mumbai,Red,Second,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Maruti Suzuki,Swift VXi,643029,2022,14366,Petrol,Manual,Ahmedabad,Green,Third,Dealer,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845.0,1735.0,1530.0,5.0,37.0
Maruti Suzuki,Baleno Zeta 1.2 AT,626990,2014,35616,Petrol,Automatic,Pune,White,Third,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Maruti Suzuki,Ciaz S 1.4 MT,628838,2023,31000,Petrol,Automatic,Kolkata,White,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Hyundai,i20 Active 1.4 SX,507694,2019,59000,Diesel,Manual,Agra,Yellow,Second,Dealer,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3995.0,1760.0,1555.0,5.0,45.0
Hyundai,Verna Fluidic 1.6 VTVT SX,754795,2019,67000,Petrol,Automatic,Navi Mumbai,Black,First,Corporate,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,Celerio ZXi [2019-2020],470259,2006,25000,Petrol,Manual,Muzaffurpur,Blue,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695.0,1600.0,1560.0,5.0,35.0
BMW,3-Series 320d Highline Sedan,1141934,2017,125000,Diesel,Automatic,Ahmedabad,Black,Second,Corporate,,,,,,,,,
Audi,A6 35 TDI Matrix,2417977,2010,81802,Diesel,Manual,Nashik,Blue,First,Dealer,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933.0,1874.0,1455.0,5.0,75.0
Hyundai,Creta SX Plus 1.6 CRDI Dual Tone,823275,2002,82000,Diesel,Manual,Raipur,Yellow,Second,Dealer,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Skoda,Rapid Ambition 1.6 MPI AT Plus,440331,2014,24000,Petrol,Manual,Mumbai,Green,Third,Individual,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0
Honda,City S Diesel,614577,2011,61000,Diesel,Manual,Ranchi,Blue,Second,Corporate,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Renault,Duster RXL Petrol,811128,2003,60444,Petrol,Automatic,Bangalore,Blue,Third,Dealer,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
Hyundai,Elite i20 Magna Executive 1.2,616411,2013,48000,Petrol,Automatic,Delhi,Blue,Second,Corporate,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,40.0
Honda,CR-V 2.0L 2WD AT,1194643,2013,50000,Petrol,Manual,Mumbai,White,First,Corporate,1997 cc,154 bhp @ 6500 rpm,190 Nm @ 4300 rpm,FWD,4545.0,1820.0,1685.0,5.0,58.0
Mercedes-Benz,M-Class ML 350 CDI,3072637,2020,60513,Diesel,Automatic,Mumbai,Yellow,Second,Dealer,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,4804.0,2141.0,1796.0,5.0,70.0
Hyundai,Verna SX (O) 1.6 CRDi,810507,2012,31000,Diesel,Manual,Kolkata,Green,Third,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4440.0,1729.0,1475.0,5.0,45.0
Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],452968,2000,16630,Petrol,Manual,Mumbai,Silver,First,Dealer,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
Mercedes-Benz,M-Class ML 350 CDI,2899714,2015,76345,Diesel,Manual,Gurgaon,White,Second,Dealer,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,4804.0,2141.0,1796.0,5.0,70.0
Hyundai,Elite i20 Asta 1.2 AT,809893,2014,33647,Petrol,Automatic,Mumbai,Brown,Second,Dealer,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,40.0
Maruti Suzuki,Wagon R LXI CNG,383830,2018,42500,CNG,Automatic,Mumbai,White,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Ford,Mustang GT Fastback 5.0L v8,8283638,2002,23000,Petrol,Automatic,Chennai,White,Second,Corporate,4951 cc,396 bhp @ 6500 rpm,515 Nm @ 4250 rpm,RWD,4784.0,2080.0,1391.0,4.0,60.9
Maruti Suzuki,Vitara Brezza VDi,925745,2003,33030,Diesel,Automatic,Jaipur,Brown,Third,Dealer,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0
Mahindra,Scorpio VLX 2WD Airbag BS-IV,429187,2020,95000,Diesel,Manual,Chandigarh,White,First,Corporate,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
